date,symbol,Short Percentage Of Float
01/12/04,CLDX,5.6
01/12/04,CLF,7.39
01/12/04,CLFD,0.12
01/12/04,CLGX,3.63
01/12/04,CLH,10.56
01/12/04,CLI,2.12
01/12/04,CLSN,0.62
01/12/04,CLWT,0.08
01/12/04,CLX,1.43
01/12/04,CMA,2.27
01/12/04,CMC,0.8
01/12/04,CMCO,0.38
01/12/04,CMCSA,1.5
01/12/04,CMCT,1.68
01/12/04,CME,6.38
01/12/04,CMI,4.31
01/12/04,CMLS,3.64
01/12/04,CMO,16.58
01/12/04,CMP,0.24
01/12/04,CMS,8.24
01/12/04,CMT,0.01
01/12/04,CMTL,5.26
01/12/04,CNA,1.1
01/12/04,CNBKA,0.24
01/12/04,CNC,6.28
01/12/04,CNL,16.83
01/12/04,CNMD,1.99
01/12/04,CNO,3.1
01/12/04,CNOB,1.05
01/12/04,CNP,4.53
01/12/04,CNQR,7.36
01/12/04,CNTY,0.01
01/12/04,CNVR,1.45
01/12/04,CNW,1.92
01/12/04,CNX,9.83
01/12/04,CNXN,0.83
01/12/04,COB,0.32
01/12/04,COBR,0.28
01/12/04,COBZ,0.38
01/12/04,COF,6.84
01/12/04,COG,2.37
01/12/04,COH,2.13
01/12/04,COHR,3.06
01/12/04,COHU,1.35
01/12/04,COKE,0.56
01/12/04,COL,1.29
01/12/04,COLB,0.39
01/12/04,COLM,1.77
01/12/04,CONN,0.61
01/12/04,COO,9.15
01/12/04,COP,0.94
01/12/04,COST,2.97
01/12/04,CPB,2.41
01/12/04,CPE,1.33
01/12/04,CPF,1.22
01/12/04,CPHC,0.05
01/12/04,CPHD,3.67
01/12/04,CPK,0.23
01/12/04,CPRT,1.75
01/12/04,CPSI,2.4
01/12/04,CPSS,0.75
01/12/04,CPST,1.75
01/12/04,CPT,1.35
01/12/04,CPWR,1.1
01/12/04,CQB,9
01/12/04,CR,2.75
01/12/04,CRAI,1.13
01/12/04,CRAY,9.23
01/12/04,CRD.A,0.32
01/12/04,CRDS,0.66
01/12/04,CREE,30.01
01/12/04,CRI,0.5
01/12/04,CRIS,1.37
01/12/04,CRK,4.08
01/12/04,CRL,3.86
01/12/04,CRMT,3.99
01/12/04,CRNT,0.17
01/12/04,CRR,2.37
01/12/04,CRRC,1.13
01/12/04,CRS,1
01/12/04,CRT,0.76
01/12/04,CRTN,0.05
01/12/04,CRUS,2.2
01/12/04,CRV,0.15
01/12/04,CRVL,1.01
01/12/04,CRWN,0.98
01/12/04,CRY,22.5
01/12/04,CRZO,1.68
01/12/04,CSCO,1.2
01/12/04,CSFL,0.01
01/12/04,CSGP,6.75
01/12/04,CSGS,2.1
01/12/04,CSH,1.1
01/12/04,CSL,1.12
01/12/04,CSPI,0.01
01/12/04,CSS,0.15
01/12/04,CSU,0.13
01/12/04,CSV,0.39
